,country,gdi_gdi_2017,gii_gii_2017,gnipc_gnipc_2017,abr_abr_2017,mmr_mmr_2017,mys_mys_2017,hdi_hdi_2017,co2_prod_co2_prod_2017,pop_total_pop_total_2017,le_le_2017
0,Afghanistan,0.696,0.681,2123.67648,90.342,681.807559,2.41123001,0.485,0.27685336,35.6434175,63.016
1,Albania,0.966,0.145,12802.1759,16.585,6.68969787,9.97669983,0.796,1.83825892,2.879355,79.047
2,Algeria,0.872,0.417,11633.2721,12.872,89.1435423,7.0868535,0.738,4.01321005,41.136546,75.743
3,Andorra,,,54906.3482,6.404,,10.7323232,0.86,6.30212495,0.0738365,82.98
4,Angola,0.896,0.547,6772.54642,145.235,252.804854,5.52109977,0.597,0.74869339,30.208628,61.68
5,Antigua and Barbuda,,,19701.7446,30.352,21.1225203,10.5178822,0.824,6.63484015,0.091119,78.268
6,Arab States,0.869,0.529,14550.9383,49.2703081,128.98718,7.53279193,0.7,4.92466103,418.9892985,71.50879643
7,Argentina,0.994,0.325,22994.8265,57.783,38.2438053,11.0164452,0.853,4.24243625,44.054616,76.833
8,Armenia,0.987,0.254,12949.7496,21.379,25.0006697,11.1875897,0.775,1.94261907,2.851923,74.906
9,Australia,0.966,0.096,47086.5143,10.43,4.77144298,12.4223404,0.937,16.821874,24.5903335,83.001
10,Austria,0.966,0.072,53665.0267,6.991,5.14460639,12.1591196,0.914,7.91233096,8.797496,81.639
11,Azerbaijan,0.95,0.314,13587.5312,47.11,26.8930122,10.5445995,0.754,3.4361088,10.071567,72.248
12,Bahamas,1.007,0.333,32753.62,26.67,77.3328118,12.4644328,0.812,6.28991028,0.39902,73.632
13,Bahrain,0.933,0.236,46185.0907,13.239,15.3881192,9.58648968,0.867,22.5387381,1.456834,79.689
14,Bangladesh,0.905,0.538,4997.56527,78.29,183.397023,6.27024984,0.622,0.49904087,161.7939635,71.788
15,Barbados,1.025,0.333,15471.3899,41.438,47.3532753,9.77397843,0.803,5.89067543,0.279187,76.936
16,Belarus,1.004,0.107,17666.594,12.936,1.31346634,11.9529163,0.811,6.11687871,9.707876,74.452
17,Belgium,0.969,0.057,50904.6891,6.075,4.91230639,12.2369299,0.931,8.70087362,11.3844895,81.362
18,Belize,0.981,0.463,8387.7549,69.627,71.9734723,8.89309826,0.716,1.64281158,0.3746935,73.562
19,Benin,0.849,0.665,2901.44509,95.546,569.135912,2.65024996,0.505,0.58673189,11.5967785,59.856
20,Bhutan,0.939,0.403,10032.6363,24.207,68.3958378,4.05823994,0.644,1.77418694,0.7561215,70.847
21,Bolivia (Plurinational State of),0.949,0.428,8001.01738,68.203,164.05679,9.396595,0.707,1.93879901,11.4355335,67.701
22,Bosnia and Herzegovina,0.925,0.162,13469.7218,10.836,5.93274845,9.75264978,0.77,6.44070526,3.440027,76.935
23,Botswana,0.982,0.449,13397.8606,44.219,107.630072,10.18,0.705,2.94661593,2.40184,66.753
24,Brazil,0.992,0.421,14207.1973,55.566,59.7036221,7.85175991,0.758,2.38421858,208.50496,74.827
25,Brunei Darussalam,0.988,0.281,63747.3613,10.027,45.474553,9.1,0.829,21.6358802,0.4302765,74.722
26,Bulgaria,0.994,0.208,20986.6795,38.398,7.02959874,11.2426996,0.81,6.60370003,7.1824285,74.799
27,Burkina Faso,0.884,0.597,1903.88864,116.273,283.115453,1.76122251,0.432,0.22781974,19.8358585,59.536
28,Burundi,0.924,0.505,751.193976,56.593,499.133343,2.80497003,0.422,0.04598232,11.155593,61.553
29,Cabo Verde,0.985,0.356,6912.81087,62.571,39.6230702,5.9340492,0.668,0.90148933,0.564954,76.593
30,Cambodia,0.908,0.491,3768.48077,48.05,203.750952,4.23623991,0.581,0.78805793,15.8306885,70.515
31,Cameroon,0.884,0.572,3623.47441,118.239,442.973506,6.26764762,0.574,0.39265482,24.3931815,60.81
